[INFO] [1776660939.874704633] [lidar_node]: LIDAR Node Started (listening on /gazebo_ros_lidar/out, publishing /scan)
[INFO] [1776660940.721007999] [lidar_node]: LIDAR update #1: ranges=360, first_range=0.51
[INFO] [1776660952.879310172] [lidar_node]: LIDAR update #20: ranges=360, first_range=0.51
[INFO] [1776660962.928675179] [lidar_node]: LIDAR update #40: ranges=360, first_range=0.51
[INFO] [1776660970.621211219] [lidar_node]: LIDAR update #60: ranges=360, first_range=0.51
[INFO] [1776660979.446725540] [lidar_node]: LIDAR update #80: ranges=360, first_range=0.51
[INFO] [1776660987.628131341] [lidar_node]: LIDAR update #100: ranges=360, first_range=0.51
[INFO] [1776660995.231110964] [lidar_node]: LIDAR update #120: ranges=360, first_range=0.51
[INFO] [1776661004.280753636] [lidar_node]: LIDAR update #140: ranges=360, first_range=0.51
[INFO] [1776661011.055868570] [lidar_node]: LIDAR update #160: ranges=360, first_range=0.51
[INFO] [1776661019.232410151] [lidar_node]: LIDAR update #180: ranges=360, first_range=0.51
[INFO] [1776661028.475999744] [lidar_node]: LIDAR update #200: ranges=360, first_range=0.50
[INFO] [1776661039.572074216] [lidar_node]: LIDAR update #220: ranges=360, first_range=0.50
[INFO] [1776661047.577093919] [lidar_node]: LIDAR update #240: ranges=360, first_range=0.51
[INFO] [1776661055.852087922] [lidar_node]: LIDAR update #260: ranges=360, first_range=0.50
[INFO] [1776661063.187063226] [lidar_node]: LIDAR update #280: ranges=360, first_range=0.49
[INFO] [1776661071.506199868] [lidar_node]: LIDAR update #300: ranges=360, first_range=0.52
[INFO] [1776661085.640685199] [lidar_node]: LIDAR update #320: ranges=360, first_range=0.51
[INFO] [1776661094.693371484] [lidar_node]: LIDAR update #340: ranges=360, first_range=0.51
[INFO] [1776661105.701391145] [lidar_node]: LIDAR update #360: ranges=360, first_range=0.51
[INFO] [1776661115.892709825] [lidar_node]: LIDAR update #380: ranges=360, first_range=0.51
[INFO] [1776661124.644048734] [lidar_node]: LIDAR update #400: ranges=360, first_range=0.51
[INFO] [1776661134.381010511] [lidar_node]: LIDAR update #420: ranges=360, first_range=0.51
[INFO] [1776661145.435807138] [lidar_node]: LIDAR update #440: ranges=360, first_range=0.51
[INFO] [1776661379.753064846] [lidar_node]: LIDAR update #460: ranges=360, first_range=0.52
[INFO] [1776661399.372529208] [lidar_node]: LIDAR update #480: ranges=360, first_range=0.52
[INFO] [1776661411.457970816] [lidar_node]: LIDAR update #500: ranges=360, first_range=0.53
[INFO] [1776661425.353640377] [lidar_node]: LIDAR update #520: ranges=360, first_range=0.53
[INFO] [1776661438.154708366] [lidar_node]: LIDAR update #540: ranges=360, first_range=0.53
[INFO] [1776661451.713360673] [lidar_node]: LIDAR update #560: ranges=360, first_range=0.53
[INFO] [1776661465.332671365] [lidar_node]: LIDAR update #580: ranges=360, first_range=0.53
[INFO] [1776661476.786984515] [lidar_node]: LIDAR update #600: ranges=360, first_range=0.53
[INFO] [1776661490.515652074] [lidar_node]: LIDAR update #620: ranges=360, first_range=0.52
[INFO] [1776661503.330243573] [lidar_node]: LIDAR update #640: ranges=360, first_range=0.53
[INFO] [1776661515.230823211] [lidar_node]: LIDAR update #660: ranges=360, first_range=0.53
[INFO] [1776661525.274285167] [lidar_node]: LIDAR update #680: ranges=360, first_range=0.53
[INFO] [1776661533.358378741] [lidar_node]: LIDAR update #700: ranges=360, first_range=0.53
[INFO] [1776661540.565747320] [lidar_node]: LIDAR update #720: ranges=360, first_range=0.53
[INFO] [1776661547.371060910] [lidar_node]: LIDAR update #740: ranges=360, first_range=0.54
[INFO] [1776661553.861679104] [lidar_node]: LIDAR update #760: ranges=360, first_range=0.53
[INFO] [1776661559.235312140] [lidar_node]: LIDAR update #780: ranges=360, first_range=0.54
[INFO] [1776661565.320931521] [lidar_node]: LIDAR update #800: ranges=360, first_range=0.52
[INFO] [1776661570.446914696] [lidar_node]: LIDAR update #820: ranges=360, first_range=0.54
[INFO] [1776661576.998383599] [lidar_node]: LIDAR update #840: ranges=360, first_range=0.53
[INFO] [1776661582.428973031] [lidar_node]: LIDAR update #860: ranges=360, first_range=0.53
[INFO] [1776661587.968180078] [lidar_node]: LIDAR update #880: ranges=360, first_range=0.53
[INFO] [1776661594.079257361] [lidar_node]: LIDAR update #900: ranges=360, first_range=0.53
[INFO] [1776661600.787044574] [lidar_node]: LIDAR update #920: ranges=360, first_range=0.54
[INFO] [1776661607.348611327] [lidar_node]: LIDAR update #940: ranges=360, first_range=0.53
[INFO] [1776661613.093149920] [lidar_node]: LIDAR update #960: ranges=360, first_range=0.53
[INFO] [1776661620.764156056] [lidar_node]: LIDAR update #980: ranges=360, first_range=0.52
[INFO] [1776661626.961394866] [lidar_node]: LIDAR update #1000: ranges=360, first_range=0.52
[INFO] [1776661632.544073077] [lidar_node]: LIDAR update #1020: ranges=360, first_range=0.53
[INFO] [1776661638.717523746] [lidar_node]: LIDAR update #1040: ranges=360, first_range=0.53
[INFO] [1776661644.415834655] [lidar_node]: LIDAR update #1060: ranges=360, first_range=0.53
[INFO] [1776661649.297675583] [lidar_node]: LIDAR update #1080: ranges=360, first_range=0.53
[INFO] [1776661654.584054437] [lidar_node]: LIDAR update #1100: ranges=360, first_range=0.53
[INFO] [1776661659.881301555] [lidar_node]: LIDAR update #1120: ranges=360, first_range=0.53
[INFO] [1776661665.194480925] [lidar_node]: LIDAR update #1140: ranges=360, first_range=0.53
[INFO] [1776661670.189867288] [lidar_node]: LIDAR update #1160: ranges=360, first_range=0.54
[INFO] [1776661675.407100755] [lidar_node]: LIDAR update #1180: ranges=360, first_range=0.52
[INFO] [1776661680.397181200] [lidar_node]: LIDAR update #1200: ranges=360, first_range=0.53
[INFO] [1776661685.054141237] [lidar_node]: LIDAR update #1220: ranges=360, first_range=0.53
[INFO] [1776661690.156710826] [lidar_node]: LIDAR update #1240: ranges=360, first_range=0.53
[INFO] [1776661695.750581351] [lidar_node]: LIDAR update #1260: ranges=360, first_range=0.53
[INFO] [1776661701.503723342] [lidar_node]: LIDAR update #1280: ranges=360, first_range=0.53
[INFO] [1776661706.763741301] [lidar_node]: LIDAR update #1300: ranges=360, first_range=0.53
[INFO] [1776661711.826449138] [lidar_node]: LIDAR update #1320: ranges=360, first_range=0.53
[INFO] [1776661717.134875314] [lidar_node]: LIDAR update #1340: ranges=360, first_range=0.53
[INFO] [1776661722.954152266] [lidar_node]: LIDAR update #1360: ranges=360, first_range=0.53
[INFO] [1776661729.178619850] [lidar_node]: LIDAR update #1380: ranges=360, first_range=0.53
[INFO] [1776661734.310105326] [lidar_node]: LIDAR update #1400: ranges=360, first_range=0.53
[INFO] [1776661739.606713716] [lidar_node]: LIDAR update #1420: ranges=360, first_range=0.53
[INFO] [1776661745.053998584] [lidar_node]: LIDAR update #1440: ranges=360, first_range=0.53
[INFO] [1776661752.792392060] [lidar_node]: LIDAR update #1460: ranges=360, first_range=0.53
[INFO] [1776661772.482241382] [lidar_node]: LIDAR update #1480: ranges=360, first_range=0.53
[INFO] [1776661782.172831903] [lidar_node]: LIDAR update #1500: ranges=360, first_range=0.52
[INFO] [1776661790.610017866] [lidar_node]: LIDAR update #1520: ranges=360, first_range=0.53
[INFO] [1776661799.978705968] [lidar_node]: LIDAR update #1540: ranges=360, first_range=0.53
[INFO] [1776661809.393681567] [lidar_node]: LIDAR update #1560: ranges=360, first_range=0.53
[INFO] [1776661819.125404663] [lidar_node]: LIDAR update #1580: ranges=360, first_range=0.53
[INFO] [1776661828.550735556] [lidar_node]: LIDAR update #1600: ranges=360, first_range=0.54
[INFO] [1776661837.719590892] [lidar_node]: LIDAR update #1620: ranges=360, first_range=0.53
[INFO] [1776661846.014922065] [lidar_node]: LIDAR update #1640: ranges=360, first_range=0.53
[INFO] [1776661852.353947040] [lidar_node]: LIDAR update #1660: ranges=360, first_range=0.53
[INFO] [1776661857.537417298] [lidar_node]: LIDAR update #1680: ranges=360, first_range=0.53
[INFO] [1776661863.607149869] [lidar_node]: LIDAR update #1700: ranges=360, first_range=0.53
[INFO] [1776661869.223743819] [lidar_node]: LIDAR update #1720: ranges=360, first_range=0.53
[INFO] [1776661876.591604635] [lidar_node]: LIDAR update #1740: ranges=360, first_range=0.54
[INFO] [1776661897.998188120] [lidar_node]: LIDAR update #1760: ranges=360, first_range=0.54
[INFO] [1776661907.462666579] [lidar_node]: LIDAR update #1780: ranges=360, first_range=0.53
[INFO] [1776661915.084862099] [lidar_node]: LIDAR update #1800: ranges=360, first_range=0.52
[INFO] [1776661923.454251405] [lidar_node]: LIDAR update #1820: ranges=360, first_range=0.54
[INFO] [1776661931.377315816] [lidar_node]: LIDAR update #1840: ranges=360, first_range=0.53
[INFO] [1776661941.119220532] [lidar_node]: LIDAR update #1860: ranges=360, first_range=0.53
[INFO] [1776661950.189313800] [lidar_node]: LIDAR update #1880: ranges=360, first_range=0.53
[INFO] [1776661959.405976077] [lidar_node]: LIDAR update #1900: ranges=360, first_range=0.53
[INFO] [1776661968.566424934] [lidar_node]: LIDAR update #1920: ranges=360, first_range=0.53
[INFO] [1776661977.084649998] [lidar_node]: LIDAR update #1940: ranges=360, first_range=0.53
[INFO] [1776661986.418505776] [lidar_node]: LIDAR update #1960: ranges=360, first_range=0.53
[INFO] [1776661996.710868738] [lidar_node]: LIDAR update #1980: ranges=360, first_range=0.53
[INFO] [1776662007.268699914] [lidar_node]: LIDAR update #2000: ranges=360, first_range=0.52
[INFO] [1776662019.717329311] [lidar_node]: LIDAR update #2020: ranges=360, first_range=0.53
[INFO] [1776662029.866920482] [lidar_node]: LIDAR update #2040: ranges=360, first_range=0.53
[INFO] [1776662039.559100942] [lidar_node]: LIDAR update #2060: ranges=360, first_range=0.54
[INFO] [1776662050.392618842] [lidar_node]: LIDAR update #2080: ranges=360, first_range=0.53
[INFO] [1776662060.972812759] [lidar_node]: LIDAR update #2100: ranges=360, first_range=0.54
[INFO] [1776662070.393279102] [lidar_node]: LIDAR update #2120: ranges=360, first_range=0.53
[INFO] [1776662081.492118808] [lidar_node]: LIDAR update #2140: ranges=360, first_range=0.54
[INFO] [1776662092.762974842] [lidar_node]: LIDAR update #2160: ranges=360, first_range=0.53
[INFO] [1776662103.975542104] [lidar_node]: LIDAR update #2180: ranges=360, first_range=0.52
[INFO] [1776662114.439737614] [lidar_node]: LIDAR update #2200: ranges=360, first_range=0.52
[INFO] [1776662126.967999357] [lidar_node]: LIDAR update #2220: ranges=360, first_range=0.53
[INFO] [1776662137.371269916] [lidar_node]: LIDAR update #2240: ranges=360, first_range=0.54
[INFO] [1776662149.929628258] [lidar_node]: LIDAR update #2260: ranges=360, first_range=0.53
[INFO] [1776662161.133592227] [lidar_node]: LIDAR update #2280: ranges=360, first_range=0.53
[INFO] [1776662169.985989480] [lidar_node]: LIDAR update #2300: ranges=360, first_range=0.54
[INFO] [1776662179.065407996] [lidar_node]: LIDAR update #2320: ranges=360, first_range=0.52
[INFO] [1776662188.190431558] [lidar_node]: LIDAR update #2340: ranges=360, first_range=0.53
[INFO] [1776662201.428066020] [lidar_node]: LIDAR update #2360: ranges=360, first_range=0.53
[INFO] [1776662212.024570447] [lidar_node]: LIDAR update #2380: ranges=360, first_range=0.53
[INFO] [1776662219.941714474] [lidar_node]: LIDAR update #2400: ranges=360, first_range=0.53
[INFO] [1776662225.352835365] [lidar_node]: LIDAR update #2420: ranges=360, first_range=0.54
[INFO] [1776662230.380830445] [lidar_node]: LIDAR update #2440: ranges=360, first_range=0.54
[INFO] [1776662236.646894329] [lidar_node]: LIDAR update #2460: ranges=360, first_range=0.54
[INFO] [1776662241.941479774] [lidar_node]: LIDAR update #2480: ranges=360, first_range=0.53
[INFO] [1776662248.375350638] [lidar_node]: LIDAR update #2500: ranges=360, first_range=0.54
[INFO] [1776662254.028957397] [lidar_node]: LIDAR update #2520: ranges=360, first_range=0.53
[INFO] [1776662259.796934753] [lidar_node]: LIDAR update #2540: ranges=360, first_range=0.53
[INFO] [1776662265.906296719] [lidar_node]: LIDAR update #2560: ranges=360, first_range=0.52
[INFO] [1776662271.775746379] [lidar_node]: LIDAR update #2580: ranges=360, first_range=0.53
[INFO] [1776662340.090364075] [lidar_node]: LIDAR update #2600: ranges=360, first_range=0.53
[INFO] [1776662351.391756511] [lidar_node]: LIDAR update #2620: ranges=360, first_range=0.54
[INFO] [1776662357.305630099] [lidar_node]: LIDAR update #2640: ranges=360, first_range=0.53
[INFO] [1776662363.654634295] [lidar_node]: LIDAR update #2660: ranges=360, first_range=0.53
[INFO] [1776662369.011665227] [lidar_node]: LIDAR update #2680: ranges=360, first_range=0.52
[INFO] [1776662374.228660868] [lidar_node]: LIDAR update #2700: ranges=360, first_range=0.52
[INFO] [1776662379.687231773] [lidar_node]: LIDAR update #2720: ranges=360, first_range=0.52
[INFO] [1776662385.473393141] [lidar_node]: LIDAR update #2740: ranges=360, first_range=0.53
[INFO] [1776662391.604039365] [lidar_node]: LIDAR update #2760: ranges=360, first_range=0.53
[INFO] [1776662396.829086612] [lidar_node]: LIDAR update #2780: ranges=360, first_range=0.53
[INFO] [1776662401.562984055] [lidar_node]: LIDAR update #2800: ranges=360, first_range=0.53
[INFO] [1776662406.701443496] [lidar_node]: LIDAR update #2820: ranges=360, first_range=0.53
[INFO] [1776662411.338196781] [lidar_node]: LIDAR update #2840: ranges=360, first_range=0.53
[INFO] [1776662415.379199003] [lidar_node]: LIDAR update #2860: ranges=360, first_range=0.53
